id,name,cost,capacity,pair
fiber-optic-gulf-fog,Fiber Optic Gulf (FOG),80,0.02,4
fibra-optica-al-pacfico,Fibra Optica al Pac铆fico,,,
fibra-optica-austral,Fibra Optica Austral,100,16,
fibralink,Fibralink,30,7.2,3
finland-estonia-connection-fec,Finland Estonia Connection (FEC),6.25,,
finland-estonia-2-eesf-2,Finland-Estonia 2 (EESF-2),,,
finland-estonia-3-eesf-3,Finland-Estonia 3 (EESF-3),,,
firmina,Firmina,,,12
flag-atlantic-1-fa-1,FLAG Atlantic-1 (FA-1),900,24,6
flag-europe-asia-fea,FLAG Europe-Asia (FEA),720,0.5,2
flag-north-asia-loopreach-north-asia-loop,FLAG North Asia Loop/REACH North Asia Loop,900,0.08,6
flores-corvo-cable-system,Flores-Corvo Cable System,20,0.96,6
fly-lion3,FLY-LION3,10,4,2
fos-quellon-chacabuco,FOS Quellon-Chacabuco,8.75,,
galapagos-cable-system,Galapagos Cable System,40,20,2
gemini-bermuda,Gemini Bermuda,40,2.5,
geo-eirgrid,Geo-Eirgrid,4.672,,
georgia-russia,Georgia-Russia,20,0.0025,4
germany-denmark-3,Germany-Denmark 3,,,
gignet-1,GigNet-1,,,
glo-1,Glo-1,260,2.5,2
global-caribbean-network-gcn,Global Caribbean Network (GCN),17.52,5,
globalconnect-2-gc2,GlobalConnect 2 (GC2),2.375,,
globalconnect-3-gc3,GlobalConnect 3 (GC3),4.75,,
globalconnect-kpn,GlobalConnect-KPN,1.075,,
globenet,GlobeNet,510,9.2,4
globenet,GlobeNet,,,
go-1-mediterranean-cable-system,GO-1 Mediterranean Cable System,10,,
gondwana-1,Gondwana-1,57.5,0.64,
gondwana-2picot-2,Gondwana-2/Picot-2,,,
grace-hopper,Grace Hopper,170,,16
greenland-connect,Greenland Connect,126,2.56,2
greenland-connect-north,Greenland Connect North,80,4.8,
gtmo-1,GTMO-1,,,
gtmo-pr,GTMO-PR,,,
guadeloupe-cable-des-iles-du-sud-gcis,Guadeloupe Cable des Iles du Sud (GCIS),2.85,,
guam-okinawa-kyushu-incheon-goki,Guam Okinawa Kyushu Incheon (GOKI),120,0.08,
guernsey-jersey-4,Guernsey-Jersey-4,,,
gulf-bridge-international-cable-system-gbicsmiddle-east-north-africa-mena-cable-system,Gulf Bridge International Cable System (GBICS)/Middle East North Africa (MENA) Cable System,445,51.2,4
gulf-of-california-cable,Gulf of California Cable,,,
gulf-of-mexico-fiber-optic-network,Gulf of Mexico Fiber Optic Network,,,
gulf2africa-g2a,Gulf2Africa (G2A),,,
hainan-to-hong-kong-express-h2he,Hainan to Hong Kong Express (H2HE),19.5,,16
hannibal-system,HANNIBAL System,10,9.6,3
hantru1-cable-system,HANTRU1 Cable System,130,,
havfrueaec-2,Havfrue/AEC-2,200,108,6
havfrueaec-2,Havfrue/AEC-2,,,
havhingstenceltixconnect-2-cc-2,Havhingsten/CeltixConnect-2 (CC-2),7.525,,
havhingstennorth-sea-connect-nsc,Havhingsten/North Sea Connect (NSC),16.525,,
havsil,Havsil,3,,
hawaiki,Hawaiki,350,67,4
hawaiki-nui,Hawaiki Nui,550,240,12
hawk,Hawk,250,2.72,4
hics-hawaii-inter-island-cable-system,HICS (Hawaii Inter-Island Cable System),11.975,,
hifn-hawaii-island-fibre-network,HIFN (Hawaii Island Fibre Network),13.225,,
high-capacity-undersea-guernsey-optical-fibre-hugo,High-capacity Undersea Guernsey Optical-fibre (HUGO),11.96,3.3,
hokkaido-akita-cable,Hokkaido-Akita Cable,,,
hokkaido-sakhalin-cable-system-hscs,Hokkaido-Sakhalin Cable System (HSCS),20,0.64,
honotua,Honotua,122,0.64,
i2i-cable-network-i2icn,i2i Cable Network (i2icn),90,84,8
imewe,IMEWE,,,
india-asia-xpress-iax,India Asia Xpress (IAX),,200,
india-europe-xpress-iex,India Europe Xpress (IEX),,200,
indigo-central,INDIGO-Central,150,36,2
indigo-west,INDIGO-West,225,36,2
indonesia-global-gateway-igg-system,Indonesia Global Gateway (IGG) System,,,
ingrid,INGRID,,,
interchange-cable-network-1-icn1,Interchange Cable Network 1 (ICN1),32,0.32,
ionian,Ionian,8,360,24
ip-only-denmark-sweden,IP-Only Denmark-Sweden,,,
iris,IRIS,42.5,18,6
isles-of-scilly-cable,Isles of Scilly Cable,,,
italy-albania,Italy-Albania,10,0.0025,1
italy-croatia,Italy-Croatia,,,
italy-greece-1,Italy-Greece 1,11,0.01,24
italy-libya,Italy-Libya,10,0.12,2
italy-malta,Italy-Malta,5.95,,2
italy-monaco,Italy-Monaco,10,0.000565,1
ixchel,Ixchel,,,
jaka2ladema,JaKa2LaDeMa,116,9.6,3
